Inside Features: 
VP^g|VB->play : 1
WHNP^g|IN->that : 2
NN->time : 7
IN->against : 9
RB->over : 3
PP^g|IN->with : 1
VP^g|VB->vb : 9
JJ->hybrid : 10
RBR->rbr : 2
NN->male : 4
NP^g|FW->fw : 1
NP^g|NN->nn : 99
PRP$->their : 23
IN->for : 50
NN->cotton : 5
NNP->zealand : 9
VP^g|VB->be : 1
S^g|ADJP^g|JJ->jj : 1
DT->this : 15
NP^g|DT->some : 2
VB->have : 10
NNP->lane : 6
NNS->crops : 4
NP^g|NN->time : 3
S^g|VP^g|VBZ->vbz : 1
RB->not : 10
ADVP^g|RB->even : 3

inside_bin_left : 281
VP^g->NN : 1
QP^g->CD : 5
NP^g->NNS : 4
S^g|VP^g->VBG : 27
NP^g->NNP : 108
S^g|VP^g->VBD : 13
@NP^g->CD : 7
@UCP^g->@UCP^g : 4
NAC^g->@NAC^g : 1
ADVP^g->RB : 12
NX^g->JJ : 6
VP^g->MD : 58
@NP^g->`` : 6
@VP^g->VBP : 27
@VP^g->VBN : 24
@UCP^g->ADJP^g : 1
ADJP^g->VBN : 1
@ADVP^g->@ADVP^g : 2
@VP^g->VBG : 23
@QP^g->$ : 4
@VP^g->VBD : 43
@PP^g->TO : 1
ADJP^g->RB : 17
@S^g->NP^g|NNS : 3
@NP^g->QP^g : 1
@S^g->NP^g|NNP : 4
@S^g->NP^g|NN : 5
@ADVP^g->RB : 3
@QP^g->JJ : 1
S^g->NP^g|NNPS : 1
ADVP^g->@ADVP^g : 6
NP^g->NP^g|RB : 1
@ADJP^g->DT : 1
VP^g->VBG : 25
SBAR^g|S^g->NP^g|PRP : 14
VP^g->VBD : 79
FRAG^g->@FRAG^g : 3
FRAG^g->NP^g : 1
@NX^g->@NX^g : 9
QP^g->NN : 1
FRAG^g|ADJP^g->RB : 1
S^g|ADJP^g->ADJP^g : 1
ADVP^g->RP : 1
@SBAR^g->IN : 2
S^g|VP^g->@VP^g : 36
@QP^g->IN : 2
@S^g->S^g|VP^g : 6
@SINV^g->`` : 9
S^g|NP^g->NNP : 1
@PP^g->@PP^g : 5
@SBAR^g->SBAR^g : 2
ADVP^g->NP^g : 3
@S^g->S^g|ADJP^g : 2
@S^g->NP^g|WDT : 1
@SBAR^g->ADVP^g|RB : 2
@S^g->CC : 14
S^g->NP^g|NN : 5
@SINV^g->MD : 1
SQ^g|VP^g->VBZ : 1
ADJP^g->ADVP^g : 1
NP^g->JJR : 1
@NP^g->ADJP^g : 5
@NAC^g->@NAC^g : 2
@UCP^g->JJ : 3
@SINV^g->VBP : 1
@UCP^g->S^g : 1
@PP^g->ADVP^g|RB : 5
@S^g->CONJP^g : 2
@SQ^g->@SQ^g : 6
NP^g->PRP$ : 27
@SINV^g->VBD : 1
@NP^g->@NP^g : 362
@NP^g->RB : 7
@VP^g->VP^g : 26
@SINV^g->ADVP^g|RB : 1
@NP^g->NP^g|QP^g : 2
S^g->RB : 1
NP^g->CD : 18
@SBAR^g->RB : 2
VP^g->NP^g|DT : 1
@SQ^g->CC : 1
SBAR^g->WHNP^g|IN : 1
@ADJP^g->ADJP^g : 4
SINV^g->@SINV^g : 16
NP^g->ADJP^g : 7
NP^g->NP^g|NNS : 33
ADJP^g->NN : 4
S^g|NP^g->@NP^g : 3
S^g->NP^g|PRP : 37
SBAR^g|S^g|VP^g->TO : 15
S^g->NP^g|NNS : 7
@QP^g->CD : 2
@SINV^g->FRAG^g|ADJP^g : 1
ADJP^g|QP^g->@QP^g : 1
SBAR^g->RB : 1
QP^g->@QP^g : 4
@VP^g->PRN^g : 2
@NAC^g->NNP : 1
NX^g->NNP : 1
@VP^g->VBZ : 37
PP^g->TO : 49
NP^g->NP^g|QP^g : 1
NX^g->DT : 1
@NP^g->NP^g|PRP : 2
@VP^g->VB : 58
@UCP^g->NP^g : 1
@NP^g->NNPS : 1
@ADJP^g->PRP$ : 1
@NX^g->NX^g|NNS : 1
@S^g->NP^g : 98
@S^g->-LRB- : 3
@SBAR^g->WHNP^g|WP : 1
@NP^g->NP^g|JJS : 1
VP^g->VBP : 54
NP^g->NP^g|NN : 37
QP^g->IN : 3
@NP^g->NP^g : 180
@SQ^g->VBD : 1
@S^g->RB : 1
SBAR^g->@SBAR^g : 10
@NX^g->NNP : 1
@NX^g->JJ : 2
@S^g->ADVP^g : 5
WHPP^g->IN : 1
@NP^g->NN : 19
NP^g->UCP^g : 2
NX^g->@NX^g : 6
@VP^g->TO : 1
S^g|ADJP^g->JJ : 1
@VP^g->PP^g : 1
@PP^g->IN : 8
SBAR^g->WHNP^g|WP : 21
SBAR^g|S^g->@S^g : 1
PP^g->@PP^g : 24
PP^g->RB : 2
@S^g->`` : 16
NP^g|QP^g->IN : 1
S^g->NP^g|JJS : 2
NP^g->RB : 1
ADVP^g->ADVP^g : 1
ADJP^g->NP^g : 4
@UCP^g->VP^g : 1
@NP^g->PRP$ : 31
ADJP^g->RBS : 4
@FRAG^g->@FRAG^g : 3
ADJP^g->JJ : 26
@PP^g->PP^g : 2
@VP^g->@VP^g : 116
NP^g->NP^g|JJ : 3
@S^g->S^g : 31
@VP^g->VP^g|VB : 1
@SINV^g->S^g : 1
SBAR^g|S^g->NP^g|NNS : 1
NP^g->NP^g|JJR : 1
ADJP^g->IN : 3
NP^g->@NP^g : 656
@FRAG^g->NP^g : 1
@ADVP^g->IN : 1
@SINV^g->ADVP^g|JJR : 1
@ADVP^g->ADVP^g|RB : 1
CONJP^g->RB : 3
ADJP^g->@ADJP^g : 16
PP^g->PP^g : 1
@ADJP^g->RB : 4
PRN^g->@PRN^g : 16
S^g->NP^g|FW : 1
@UCP^g->NP^g|CD : 1
@NP^g->JJR : 2
@SBAR^g->WHNP^g|IN : 1
VP^g->VB : 130
@PRN^g->-LRB- : 5
@S^g->NP^g|DT : 5
UCP^g->@UCP^g : 9
SBARQ^g->@SBARQ^g : 1
ADVP^g->IN : 2
@PP^g->JJ : 6
NP^g->JJS : 1
@QP^g->@QP^g : 9
FRAG^g->RB : 1
ADJP^g->ADJP^g|JJR : 3
S^g->ADVP^g|RB : 5
@PRN^g->: : 4
S^g->NP^g|EX : 3
@NP^g->JJ : 29
NOTVALID : 6384
QP^g->DT : 1
PP^g->NN : 1
NX^g->RB : 1
@ADJP^g->`` : 1
@PRN^g->, : 7
@ADVP^g->ADVP^g|RBR : 1
SBAR^g->WHADVP^g : 1
NP^g->NN : 35
ADVP^g->NP^g|NNS : 1
FRAG^g->ADVP^g|RB : 1
S^g|VP^g->TO : 71
VP^g->TO : 19
NP^g->NP^g : 262
@NP^g->IN : 1
@SINV^g->ADJP^g : 1
@S^g->NP^g|PRP : 23
SBAR^g->WHADVP^g|WRB : 8
S^g->NP^g|DT : 3
NX^g->NP^g|NN : 2
S^g->`` : 1
S^g->NP^g|NNP : 1
@VP^g->VP^g|VBZ : 1
@NP^g->NP^g|NN : 8
@QP^g->RB : 2
@S^g->ADJP^g|JJ : 1
@S^g->NP^g|JJS : 1
@VP^g->VP^g|VBN : 1
S^g->@S^g : 261
@VP^g->ADVP^g|RB : 23
@ADJP^g->ADVP^g : 1
@SQ^g->MD : 1
@VP^g->VP^g|VBD : 1
NP^g->DT : 267
ADJP^g->ADJP^g : 3
FRAG^g|NP^g->JJ : 1
@NP^g->NP^g|NNS : 9
SBAR^g->WHNP^g|WDT : 42
@NP^g->NP^g|NNP : 6
@NP^g->SBAR^g : 1
ADVP^g->RBR : 4
@VP^g->ADVP^g : 1
@SQ^g->VBZ : 1
NP^g->VBN : 1
@S^g->SBAR^g : 11
NP^g|QP^g->CD : 3
NP^g->VBG : 1
VP^g->@VP^g : 245
NP^g->NP^g|DT : 4
@VP^g->MD : 11
@ADJP^g->JJ : 4
SBAR^g->WHPP^g : 2
S^g->NP^g : 90
@SBARQ^g->WHNP^g|WP : 1
SBAR^g->IN : 55
@S^g->@S^g : 272
ADJP^g->RBR : 3
WHPP^g->TO : 1
S^g|PP^g->IN : 1
NP^g->QP^g : 11
ADJP^g->CD : 1
SQ^g->@SQ^g : 4
NP^g->JJ : 84
@FRAG^g->NNS : 1
@NX^g->NX^g : 2
VP^g->ADVP^g|RB : 3
@UCP^g->PP^g : 1
NP^g->NP^g|CD : 6
@PP^g->RB : 1
ADJP^g->NP^g|QP^g : 1
SBAR^g|SINV^g->@SINV^g : 1
@S^g->PP^g : 22
PP^g->IN : 511
ADJP^g->JJR : 2
@SBAR^g->@SBAR^g : 3
@FRAG^g->CC : 1
S^g|VP^g->MD : 5
@PP^g->ADVP^g|RBR : 1
@NP^g->DT : 288
NP^g|QP^g->@QP^g : 7
@ADJP^g->@ADJP^g : 12
S^g->PP^g : 2
S^g|VP^g->NN : 1
S^g|VP^g->VBN : 4
WHADVP^g->RB : 1
VP^g->VBN : 74
@QP^g->JJR : 1
@NP^g->NNS : 6
@S^g->ADVP^g|RB : 8
@SINV^g->@SINV^g : 56
@NP^g->NNP : 47
S^g|VP^g->VBP : 5
VP^g->VBZ : 76
@PRN^g->@PRN^g : 8
PP^g->VBG : 6
SBAR^g|S^g->NP^g : 12
S^g|VP^g->VBZ : 9

inside_bin_right : 391
@NP^g->`` : 19
NP^g->JJR : 1
PP^g->ADVP^g|RB : 1
ADVP^g->ADVP^g : 2
@VP^g->: : 1
@VP^g->'' : 1
@VP^g->VP^g : 6
@PRN^g->NP^g|QP^g : 1
NP^g->NNP : 147
ADVP^g->RB : 17
@NP^g->PP^g : 21
NP^g->POS : 60
@NP^g->FW : 2
@VP^g->, : 41
@VP^g->ADJP^g|JJ : 7
@PP^g->PP^g : 1
@VP^g->NP^g|DT : 1
ADJP^g->JJR : 4
VP^g->VBZ : 2
@NP^g->NP^g|CD : 1
@VP^g->NP^g : 78
@NP^g->PDT : 1
@NP^g->JJS : 6
@S^g->FRAG^g|NP^g : 1
VP^g->VBN : 1
SBAR^g->S^g : 80
VP^g->S^g|ADJP^g|JJ : 1
VP^g->ADVP^g|RB : 13
@NP^g->NNS : 31
@PP^g->, : 1
@NP^g->NNP : 138
@NP^g->NX^g : 3
SBAR^g|S^g->VP^g : 28
@S^g->CC : 21
PP^g->PP^g : 10
PP^g->NP^g|NN : 38
@VP^g->NP^g|PRP : 11
@SBAR^g->IN : 5
@NP^g->DT : 3
S^g->VP^g|VB : 1
@SBAR^g->SBAR^g : 1
@SQ^g->SBAR^g : 2
NX^g->NNS : 5
NX^g->NNP : 1
VP^g->PP^g : 161
@SQ^g->NP^g|PRP : 1
NP^g->NP^g|PRP : 1
S^g->-RRB- : 3
S^g|NP^g->NN : 1
PRN^g->: : 4
ADVP^g->IN : 3
@QP^g->CD : 9
@QP^g->RB : 1
@NP^g->: : 10
PP^g->NP^g|PRP : 8
@S^g->VP^g|VBZ : 3
S^g|VP^g->SBAR^g : 1
@VP^g->S^g|VP^g : 3
@VP^g->VB : 7
SBAR^g|S^g|VP^g->VP^g|VB : 1
@ADJP^g->'' : 2
ADJP^g->S^g|VP^g : 7
@SINV^g->S^g : 10
@NP^g->, : 153
@NP^g->CD : 7
@NP^g->CC : 84
NP^g->'' : 10
@SINV^g->'' : 11
@FRAG^g->NNS : 1
@NP^g->NP^g|NNP : 1
@NX^g->, : 4
@S^g->RB : 1
@NAC^g->NNP : 2
S^g|NP^g->NP^g : 1
@NP^g->TO : 1
VP^g->PRT^g|RP : 2
ADJP^g->SBAR^g|S^g|VP^g : 4
VP^g->NP^g|NNS : 3
VP^g->NP^g|NNP : 2
@NP^g->NX^g|NN : 1
@PRN^g->`` : 1
@SINV^g->NP^g : 15
@PP^g->NP^g : 1
NP^g->VBZ : 2
@PRN^g->, : 2
@S^g->'' : 9
@VP^g->TO : 1
UCP^g->NN : 2
@VP^g->VBD : 3
@S^g->NP^g : 50
NP^g|QP^g->JJR : 3
@NP^g->NAC^g : 1
@VP^g->VP^g|VBD : 1
S^g|VP^g->ADJP^g : 1
@QP^g->CC : 1
@NP^g->NP^g|NNS : 3
VP^g->VP^g|VB : 4
@SINV^g->. : 1
NP^g->VP^g|VBN : 1
@SINV^g->, : 14
ADJP^g->PRN^g : 2
NP^g->ADVP^g|RB : 4
SBAR^g->S^g|VP^g|VBD : 1
ADJP^g->NN : 1
PP^g->NP^g|JJ : 1
FRAG^g|NP^g->NNS : 1
SBAR^g->S^g|VP^g|VBZ : 1
QP^g->JJR : 3
ADVP^g->NP^g|NNP : 1
@SINV^g->`` : 1
@ADJP^g->RB : 1
@NP^g->PRP$ : 1
@PRN^g->SBAR^g : 4
@SQ^g->NP^g|DT : 2
UCP^g->JJ : 1
@VP^g->ADVP^g|RB : 31
@VP^g->PP^g : 56
@NP^g->'' : 13
NP^g->SBAR^g|S^g|VP^g : 8
SQ^g|VP^g->ADJP^g|JJ : 1
@PP^g->IN : 14
@NP^g->SBAR^g : 4
@PRN^g->VBP : 1
@VP^g->RB : 23
S^g|VP^g->SBAR^g|S^g : 1
S^g->S^g : 5
VP^g->ADVP^g|RBS : 1
PP^g->ADJP^g|RB : 2
NX^g->NN : 6
@NAC^g->, : 1
NP^g->PRN^g : 5
VP^g->NP^g|CD : 1
NP^g->S^g|VP^g : 13
@S^g->SINV^g : 2
@VP^g->S^g|NP^g : 2
@NP^g->NP^g|NN : 3
PP^g->S^g|VP^g : 18
VP^g->VP^g|VBN : 8
@NP^g->PRN^g : 1
UCP^g->. : 1
UCP^g->NP^g : 1
@S^g->S^g|VP^g : 1
@S^g->NP^g|QP^g : 1
VP^g->ADJP^g|RP : 1
S^g|VP^g->NP^g|NNS : 2
PRN^g->, : 7
@PRN^g->CC : 1
S^g|VP^g->NP^g|NNP : 1
@ADVP^g->, : 1
@UCP^g->NP^g : 1
@VP^g->SBAR^g : 2
@NX^g->NN : 3
SBAR^g|S^g|VP^g->VP^g : 14
VP^g->NP^g|QP^g : 1
S^g|ADJP^g->S^g|VP^g : 1
VP^g->ADVP^g : 6
ADJP^g->PP^g : 24
PP^g->'' : 2
NP^g->NNS : 312
@NX^g->NX^g|NNS : 1
S^g->SBAR^g : 2
@VP^g->PP^g|TO : 1
ADJP^g->JJ : 35
S^g|PP^g->NP^g : 1
S^g|VP^g->VP^g : 87
@SBAR^g->CC : 2
@S^g->SBAR^g : 2
S^g|VP^g->NP^g|NN : 2
WHPP^g->WHNP^g|WDT : 2
@VP^g->ADJP^g : 3
NP^g->ADVP^g : 3
S^g->SQ^g : 1
S^g->NP^g|NN : 1
@SINV^g->PP^g : 1
S^g|VP^g->NP^g : 26
@VP^g->PRN^g : 1
NP^g->NN : 498
VP^g->SBAR^g|S^g|VP^g : 3
@S^g->PP^g : 5
CONJP^g->RB : 2
@PRN^g->NP^g : 3
@SINV^g->RB : 1
SINV^g->'' : 1
@S^g->: : 8
PP^g->NP^g|DT : 1
ADVP^g->SBAR^g : 2
PP^g->ADJP^g : 1
@S^g->VP^g|VBP : 2
S^g->ADJP^g : 3
@S^g->. : 22
@S^g->, : 93
@PRN^g->'' : 1
NP^g->NP^g|NNS : 1
NP^g->NX^g|NN : 1
@PP^g->`` : 7
@S^g->VP^g|VBD : 11
@VP^g->MD : 1
@SINV^g->VP^g : 1
UCP^g->VP^g : 1
S^g->VP^g : 167
VP^g->S^g|VP^g : 56
PP^g->SBAR^g : 2
@NP^g->UCP^g : 1
NP^g->, : 37
@SBAR^g->, : 4
@S^g->VP^g : 189
S^g->ADVP^g|RB : 1
NAC^g->, : 1
@UCP^g->NN : 1
PP^g->UCP^g : 1
PP^g->NP^g|CD : 5
FRAG^g->, : 1
FRAG^g->. : 4
S^g->NP^g : 1
NP^g|QP^g->NN : 1
@S^g->NP^g|EX : 3
@SQ^g->VBD : 1
@PP^g->CC : 3
@ADVP^g->CC : 3
@QP^g->TO : 2
NP^g->SBAR^g|S^g : 4
SINV^g->. : 13
S^g|VP^g->ADVP^g|RB : 1
NP^g->NP^g|NN : 4
S^g->'' : 20
ADJP^g|QP^g->CD : 1
@ADJP^g->JJ : 8
VP^g->SBAR^g|SINV^g : 1
@S^g->NP^g|DT : 1
@S^g->S^g : 31
NP^g->VP^g : 27
S^g|NP^g->NNP : 1
@VP^g->ADJP^g|RB : 1
@NP^g->JJR : 2
NP^g->NNPS : 12
ADJP^g->PRP$ : 1
@S^g->NP^g|PRP : 33
@VP^g->JJ : 1
@UCP^g->: : 2
NP^g->JJ : 5
PP^g->ADJP^g|JJ : 1
NP^g->NP^g : 79
UCP^g->ADVP^g : 1
@S^g->S^g|PP^g : 1
@UCP^g->, : 1
VP^g->NP^g|PRP : 1
UCP^g->ADJP^g|JJR : 1
SINV^g->VP^g : 2
ADJP^g->DT : 2
SBAR^g->SBAR^g : 2
@S^g->NP^g|CD : 2
@FRAG^g->PP^g : 2
@NP^g->QP^g : 2
NP^g->NX^g : 7
@QP^g->$ : 3
ADJP^g->NP^g : 1
PP^g->NP^g|NNPS : 1
@VP^g->NP^g|NN : 9
VP^g->SBAR^g : 42
@VP^g->PRT^g|RP : 23
@VP^g->NP^g|NNS : 12
@VP^g->NP^g|NNP : 3
ADVP^g->PP^g : 5
VP^g->ADJP^g|JJ : 8
S^g|VP^g->ADVP^g : 1
WHADVP^g->WRB : 1
@NP^g->ADVP^g|RB : 3
@SQ^g->NP^g|NNS : 1
S^g|VP^g->PP^g : 28
S^g->VP^g|VBZ : 3
@ADJP^g->`` : 2
NP^g->NP^g|NNP : 4
NX^g->PP^g : 2
S^g->VP^g|VBP : 3
@PRN^g->ADVP^g|RB : 1
@FRAG^g->ADVP^g|RB : 1
PP^g->NP^g|NNS : 16
PP^g->NP^g|NNP : 25
ADJP^g->SBAR^g : 1
@S^g->NP^g|NNS : 3
S^g->VP^g|VBD : 3
@VP^g->VBZ : 4
@VP^g->`` : 3
@NP^g->NN : 160
NP^g->NP^g|JJ : 1
@ADJP^g->RBR : 1
@FRAG^g->, : 1
SBAR^g|SINV^g->VP^g : 1
@VP^g->VBP : 1
@NP^g->ADJP^g : 17
@SINV^g->NP^g|PRP : 2
@VP^g->VBN : 10
@VP^g->VBG : 2
NP^g->FW : 1
NOTVALID : 6384
VP^g->S^g|NP^g : 2
@NP^g->NNPS : 10
@SQ^g->ADVP^g|RB : 1
SQ^g->. : 4
@VP^g->PP^g|IN : 1
S^g|VP^g->VP^g|VB : 3
VP^g->PRN^g : 1
NP^g->NP^g|QP^g : 1
S^g->PP^g : 1
@NP^g->NP^g : 46
@NP^g->RB : 3
@QP^g->NN : 1
@VP^g->CONJP^g : 1
SBARQ^g->. : 1
CONJP^g->IN : 1
@NX^g->NNP : 1
@UCP^g->ADVP^g|RB : 1
S^g|VP^g->NP^g|PRP : 1
@PRN^g->S^g : 5
@PP^g->NP^g|NN : 1
NX^g->NX^g : 2
SBAR^g->FRAG^g : 1
@UCP^g->CC : 7
FRAG^g->ADVP^g : 1
@NX^g->CC : 3
@VP^g->NP^g|QP^g : 3
@S^g->ADVP^g|RB : 28
@S^g->PRN^g : 4
NP^g->PRP : 1
NP^g->DT : 2
@SINV^g->VP^g|VBZ : 9
ADJP^g->ADJP^g : 3
@NP^g->VP^g : 8
@FRAG^g->RB : 1
@SINV^g->VP^g|VBP : 1
PP^g->NP^g : 456
@SINV^g->VP^g|VBN : 1
VP^g->VP^g : 206
@ADJP^g->CC : 13
NP^g->PP^g : 245
VP^g->SBAR^g|S^g : 23
@SINV^g->VP^g|VBD : 3
NP^g->UCP^g : 1
@PP^g->TO : 1
S^g|ADJP^g->PP^g : 1
FRAG^g|ADJP^g->JJ : 1
@ADVP^g->RBS : 1
NX^g->NX^g|NNS : 1
S^g|NP^g->, : 1
VP^g->NP^g : 159
VP^g->NP^g|NN : 4
@NP^g->JJ : 246
@VP^g->CC : 37
ADJP^g->VBN : 3
NP^g->CD : 5
PRN^g->-RRB- : 5
ADJP^g->ADJP^g|JJ : 1
QP^g->DT : 1
NP^g->SBAR^g : 60
@NP^g->VBN : 5
@SBARQ^g->SQ^g|VP^g : 1
@NP^g->VBG : 10
UCP^g->ADJP^g : 1
@SQ^g->VP^g : 1
@ADJP^g->, : 1
VP^g->S^g : 19
@SQ^g->NP^g : 1
@S^g->`` : 5
@PRN^g->NN : 1
S^g->S^g|VP^g : 1
@PRN^g->ADJP^g|QP^g : 1
@SINV^g->S^g|VP^g : 1
PP^g->VP^g|VB : 1
@SINV^g->FRAG^g : 1
@QP^g->JJ : 1
PP^g->NP^g|RB : 1
QP^g->CD : 10
@S^g->ADVP^g : 2
S^g->ADJP^g|JJ : 1
@VP^g->ADVP^g : 5
@ADVP^g->RB : 3
VP^g->ADJP^g : 29
VP^g->UCP^g : 3
@PRN^g->PP^g : 2
NP^g|QP^g->CD : 7
@NX^g->NX^g : 3
@SBAR^g->NN : 1
S^g->. : 203
NP^g->ADJP^g : 9
SBAR^g->S^g|VP^g : 56
PP^g->S^g : 3
@QP^g->IN : 3
VP^g->PP^g|IN : 1
S^g|VP^g->S^g : 7
S^g|VP^g->VBP : 1
S^g|VP^g->S^g|VP^g : 8

inside_bin_full : 885
@SBAR^g->IN,NN : 1
PP^g->IN,NP^g|NNPS : 1
NP^g->NP^g|NN,VP^g|VBN : 1
@NP^g->@NP^g,CD : 1
@UCP^g->@UCP^g,ADVP^g|RB : 1
@VP^g->VBN,PP^g : 10
@VP^g->TO,ADVP^g|RB : 1
NP^g->NP^g|NN,SBAR^g : 3
ADJP^g->@ADJP^g,PRP$ : 1
NOTVALID : 6384
@NP^g->NP^g|PRP,: : 1
NP^g->JJR,NN : 1
PP^g->TO,NP^g : 39
@VP^g->VB,NP^g : 20
@NP^g->NNP,FW : 1
S^g|VP^g->VBG,NP^g|PRP : 1
@PRN^g->,,SBAR^g : 2
SBAR^g->WHNP^g|WDT,S^g : 5
VP^g->VB,S^g|VP^g : 7
VP^g->ADVP^g|RB,VBN : 1
NX^g->@NX^g,NNS : 1
@S^g->NP^g,NP^g : 2
@VP^g->@VP^g,NP^g|NN : 1
@VP^g->VB,NP^g|NNS : 8
@NP^g->RB,PRP$ : 1
VP^g->VBD,SBAR^g|S^g : 14
@S^g->ADJP^g|JJ,PP^g : 1
